title,console,console_fabricator,genre,publisher,developer,release_date,ano,total_sales,na_sales,jp_sales,pal_sales,other_sales
ESPN MLS ExtraTime 2002,GC,Nintendo,Sports,Konami,Konami Computer Entertainment America,2002-03-25,2002,0.02,0.02,0.0,0.0,0.0
Winning Post 7: Maximum 2007,PS2,Sony,Sports,KOEI,Koei,2007-03-29,2007,0.02,0.0,0.02,0.0,0.0
Backyard Baseball '09,PS2,Sony,Sports,Atari,Humongous Entertainment,2008-06-10,2008,0.02,0.01,0.0,0.01,0.0
Ten Pin Alley 2,Wii,Nintendo,Sports,XS Games,Adrenalin Entertainment,2008-10-22,2008,0.02,0.02,0.0,0.0,0.0
Balls of Fury,Wii,Nintendo,Sports,DSI Games,Black Lantern Studios,2007-10-05,2007,0.02,0.02,0.0,0.0,0.0
Pebble Beach Golf Links,SAT,Sega,Sports,Sega,Tikipod,1995-01-01,1995,0.02,0.0,0.02,0.0,0.0
SBK: Snowboard Kids,DS,Nintendo,Sports,Atlus,"in-glove Co., ltd",2005-11-22,2005,0.02,0.02,0.0,0.0,0.0
Winning Post 8 2018,PS4,Sony,Sports,Koei Tecmo,Koei Tecmo Games,2018-03-15,2018,0.02,0.0,0.02,0.0,0.0
Winter Blast: 9 Snow & Ice Games,Wii,Nintendo,Sports,Destineer,Destineer,2010-03-23,2010,0.02,0.02,0.0,0.0,0.0
Worldwide Soccer Manager 2007,PC,Outros,Sports,Sega,Sports Interactive,2006-10-01,2006,0.02,0.0,0.0,0.02,0.0
Rugby 06,XB,Microsoft,Sports,EA Sports,HB Studios Multimedia,2006-02-14,2006,0.01,0.01,0.0,0.0,0.0
Crayola Scoot,PS4,Sony,Sports,Outright Games,Outright Games,2018-10-16,2018,0.01,0.01,0.0,0.0,0.0
Casper's Scare School: Spooky Sports Day,Wii,Nintendo,Sports,Crave Entertainment,The Code Monkeys,2010-10-19,2010,0.02,0.02,0.0,0.0,0.0
Super Bowling,N64,Nintendo,Sports,UFO Interactive,Athena,2001-01-15,2001,0.02,0.02,0.0,0.0,0.0
Winter Sports 2011,X360,Microsoft,Sports,DTP Entertainment,49Games,2011-02-25,2011,0.02,0.0,0.0,0.02,0.0
Resident Evil: Revelations,XOne,Microsoft,Action,Capcom,Capcom,2017-08-29,2017,0.02,0.02,0.0,0.0,0.0
Abunai: Koi no Sousa Shitsu,PSV,Sony,Action,Asgard,Unknown,2015-05-21,2015,0.02,0.0,0.02,0.0,0.0
Warriors Orochi 2,X360,Microsoft,Action,Tecmo Koei,Omega Force,2012-03-20,2012,0.02,0.0,0.02,0.0,0.0
Major Dream: Major DS Dream Baseball,DS,Nintendo,Sports,Takara Tomy,Takara Tomy,2008-07-31,2008,0.02,0.0,0.02,0.0,0.0
SNK Heroines Tag Team Frenzy,PS4,Sony,Fighting,NIS America,SNK Corporation,2018-09-07,2018,0.02,0.0,0.02,0.0,0.0
Virtua Pro Football,PS2,Sony,Sports,Sega,Sega Europe,2006-09-01,2006,0.02,0.0,0.02,0.0,0.0
Adidas Power Soccer 98,PS,Sony,Sports,Psygnosis,Shen Studios,1998-06-30,1998,0.02,0.01,0.0,0.01,0.0
ESPN MLS ExtraTime 2002,XB,Microsoft,Sports,Konami,Konami Computer Entertainment America,2002-03-27,2002,0.01,0.01,0.0,0.0,0.0
Tenkai Knights: Brave Battle,3DS,Nintendo,Action,Namco Bandai Games,Delta Factory,2014-10-07,2014,0.02,0.01,0.0,0.01,0.0
"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,Sony,Action,D3 Publisher,D3 Publisher,2009-07-30,2009,0.02,0.0,0.02,0.0,0.0
Knight's Apprentice: Memorick's Adventures,XB,Microsoft,Action,XS Games,Microids,2004-06-15,2004,0.02,0.02,0.0,0.0,0.0
Bara ni Kakusareshi Verite,PSV,Sony,Action,Idea Factory,Unknown,2016-09-01,2016,0.02,0.0,0.02,0.0,0.0
Geometry Wars 3: Dimensions Evolved,XOne,Microsoft,Action,Activision,Unknown,2016-10-11,2016,0.02,0.02,0.0,0.0,0.0
Franklin's Great Adventures,DS,Nintendo,Action,Game Factory,Neko Entertainment,2006-04-01,2006,0.02,0.02,0.0,0.0,0.0
To Love-Ru Trouble: Darkness - True Princess,PSV,Sony,Action,FuRyu Corporation,Unknown,2015-11-05,2015,0.02,0.0,0.02,0.0,0.0
Rule of Rose,PS2,Sony,Action,Atlus,Punchline / Shirogumi,2006-09-12,2006,0.02,0.01,0.0,0.01,0.0
The Sims: Complete Collection,PC,Outros,Simulation,Electronic Arts,Maxis,2005-11-02,2005,0.02,0.01,0.0,0.01,0.0
World Neverland 2in1 Portable: Olerud Kingdom & Republic of Pluto,PSP,Sony,Simulation,fonfun,fonfun Corporation,2008-06-26,2008,0.02,0.0,0.02,0.0,0.0
Cats Together,NS,Nintendo,Simulation,Bandai Namco Games,Bandai Namco Games,2018-11-01,2018,0.02,0.0,0.02,0.0,0.0
IL-2 Sturmovik: Forgotten Battles,PC,Outros,Simulation,Ubisoft,1C: Maddox Games,2003-03-02,2003,0.02,0.0,0.0,0.02,0.0
Supermodel Makeover by Lauren Luke,DS,Nintendo,Simulation,Avanquest,Avanquest Software,2009-12-18,2009,0.02,0.0,0.0,0.02,0.0
Motto! SoniComi,PS3,Sony,Simulation,Kadokawa Games,Kadokawa Games,2014-03-20,2014,0.02,0.0,0.02,0.0,0.0
Cities XL 2011,PC,Outros,Simulation,Focus Home Interactive,Monte Cristo Multimedia,2010-10-14,2010,0.02,0.0,0.0,0.02,0.0
Sousaku Alice to Oujisama!,3DS,Nintendo,Simulation,Happinet,Happinet,2015-11-26,2015,0.02,0.0,0.02,0.0,0.0
Kawaii Koinu DS 3,DS,Nintendo,Simulation,MTO,MTO,2010-03-18,2010,0.02,0.0,0.02,0.0,0.0
Mushishi: Amefuru Sato,DS,Nintendo,Simulation,Marvelous Interactive,Tenky,2008-01-31,2008,0.02,0.0,0.02,0.0,0.0
Guitar Freaks V2 & DrumMania V2,PS2,Sony,Simulation,Konami,Konami,2006-11-22,2006,0.02,0.0,0.02,0.0,0.0
SimCity Societies,PC,Outros,Simulation,Electronic Arts,Tilted Mill Entertainment,2007-11-13,2007,0.02,0.0,0.0,0.02,0.0
Freedom Wings,DS,Nintendo,Simulation,Natsume,BELUGA Computer Inc.,2006-08-21,2006,0.02,0.02,0.0,0.0,0.0
Discovery Kids: Snake Safari,DS,Nintendo,Simulation,505 Games,505 Games,2010-06-08,2010,0.02,0.02,0.0,0.0,0.0
The IdolM@ster: Gravure For You! Vol. 9,PS3,Sony,Simulation,Namco Bandai Games,Namco Bandai Games,2012-06-28,2012,0.02,0.0,0.02,0.0,0.0
Neo Atlas 1469,PSV,Sony,Simulation,ArtDink,ArtDink,2016-10-27,2016,0.02,0.0,0.02,0.0,0.0
NFL Blitz Pro,GC,Nintendo,Sports,Midway Games,Point of View,2003-12-02,2003,0.02,0.02,0.0,0.0,0.0
